epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.65282,1.03957,3.18247,1.32857,0.03043,0.99048,0.2455,0.19624,0.75305,2.87682,0.92351,0.000297864,0.000297864,0.000297864
2,10.6394,0.87954,2.39472,1.21153,0.21333,0.87784,0.28569,0.21858,0.85947,2.13311,1.07628,0.000599675,0.000599675,0.000599675
3,15.124,0.87898,2.0814,1.20084,0.28994,0.71238,0.36585,0.28974,0.83617,1.9309,1.04184,0.000900285,0.000900285,0.000900285
4,19.5489,0.85492,1.95255,1.17124,0.32788,0.68189,0.39961,0.31951,0.79408,1.78587,1.04345,0.000903601,0.000903601,0.000903601
5,23.8657,0.82342,1.78067,1.15877,0.33043,0.65831,0.44831,0.36682,0.75611,1.49471,1.02631,0.000901801,0.000901801,0.000901801
6,28.3366,0.83839,1.66157,1.15759,0.32915,0.74553,0.48654,0.40614,0.75857,1.47863,0.95438,0.000900001,0.000900001,0.000900001
7,32.6013,0.81854,1.56735,1.14591,0.408,0.72701,0.50163,0.39865,0.90908,1.56734,1.16612,0.000898201,0.000898201,0.000898201
8,36.7945,0.83331,1.52475,1.1509,0.37323,0.70885,0.53785,0.44142,0.75246,1.37246,1.05878,0.000896401,0.000896401,0.000896401
9,40.9813,0.80195,1.44149,1.13139,0.42932,0.61284,0.55718,0.46566,0.75456,1.28946,0.95252,0.000894601,0.000894601,0.000894601
10,45.1125,0.79607,1.40995,1.13256,0.4295,0.64776,0.52323,0.41386,0.83746,1.3812,1.13769,0.000892802,0.000892802,0.000892802
11,49.2556,0.79358,1.37921,1.13685,0.48424,0.70312,0.58821,0.4879,0.74864,1.19164,0.88892,0.000891002,0.000891002,0.000891002
12,53.3858,0.7584,1.32404,1.11769,0.4566,0.74192,0.59288,0.49433,0.76018,1.22878,0.94699,0.000889202,0.000889202,0.000889202
13,57.5648,0.80996,1.29022,1.13252,0.42266,0.71488,0.59161,0.48702,0.78107,1.27421,0.98448,0.000887402,0.000887402,0.000887402
14,61.727,0.77082,1.26791,1.12919,0.48589,0.72743,0.61825,0.5,0.74845,1.21086,0.90806,0.000885602,0.000885602,0.000885602
15,65.8873,0.77165,1.26487,1.1122,0.3471,0.70211,0.57315,0.48027,0.70141,1.38476,0.86248,0.000883803,0.000883803,0.000883803
16,70.0657,0.76961,1.26305,1.12181,0.49046,0.72498,0.60863,0.51131,0.68065,1.14909,0.84658,0.000882003,0.000882003,0.000882003
