epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.453,0.20518,1.95645,1.03572,0.23818,0.70799,0.2872,0.28088,0.23442,1.7432,0.34393,0.00332956,0.00332956,0.00332956
2,256.652,0.10697,1.15227,0.93938,0.34508,0.66248,0.45095,0.4506,0.1778,1.17103,0.28086,0.00664091,0.00664091,0.00664091
3,380.337,0.11267,1.15362,0.94023,0.19035,0.74855,0.23535,0.21482,0.46915,1.55829,0.75938,0.00993025,0.00993025,0.00993025
4,503.317,0.095,1.13425,0.93167,0.39339,0.72805,0.52339,0.51981,0.23529,1.07821,0.31024,0.009901,0.009901,0.009901
5,626.784,0.07535,1.05742,0.91823,0.41593,0.70947,0.54439,0.54242,0.22391,1.05868,0.31404,0.009868,0.009868,0.009868
6,750.24,0.06491,1.01206,0.91434,0.42697,0.61937,0.49143,0.48784,0.27907,1.16146,0.37261,0.009835,0.009835,0.009835
7,873.682,0.05718,0.98022,0.91117,0.22266,0.71989,0.27325,0.27184,0.23477,1.40885,0.32138,0.009802,0.009802,0.009802
8,997.158,0.05188,0.95137,0.9076,0.4987,0.65183,0.5939,0.59383,0.20673,0.97864,0.27556,0.009769,0.009769,0.009769
9,1120.63,0.04867,0.93629,0.90571,0.51051,0.66886,0.60702,0.60579,0.1972,1.03139,0.27007,0.009736,0.009736,0.009736
10,1243.39,0.0454,0.9172,0.90546,0.55921,0.66943,0.63909,0.63064,0.21662,0.97326,0.28416,0.009703,0.009703,0.009703
11,1366.76,0.04572,0.90014,0.90467,0.50858,0.68483,0.62647,0.62415,0.21925,0.95441,0.28228,0.00967,0.00967,0.00967
12,1490.08,0.0431,0.89009,0.90482,0.55337,0.68409,0.64939,0.6493,0.21093,0.89651,0.2794,0.009637,0.009637,0.009637
13,1612.89,0.04034,0.87593,0.90353,0.56353,0.69288,0.66061,0.65833,0.203,0.88376,0.25772,0.009604,0.009604,0.009604
14,1736.12,0.03966,0.8677,0.90211,0.5734,0.69448,0.66215,0.65951,0.21289,0.87845,0.27817,0.009571,0.009571,0.009571
15,1859.54,0.03965,0.85277,0.90359,0.57029,0.68792,0.65874,0.65849,0.17311,0.88024,0.22086,0.009538,0.009538,0.009538
16,1981.95,0.03963,0.84265,0.90397,0.58581,0.7009,0.68024,0.67975,0.21967,0.8462,0.27421,0.009505,0.009505,0.009505
17,2105.45,0.03814,0.83701,0.90267,0.57703,0.71343,0.6892,0.6892,0.19855,0.83064,0.25242,0.009472,0.009472,0.009472
18,2228.77,0.03658,0.82405,0.90026,0.59752,0.70869,0.69338,0.69338,0.15811,0.81184,0.20182,0.009439,0.009439,0.009439
19,2351.69,0.03734,0.81515,0.90397,0.61487,0.68946,0.70003,0.70003,0.19266,0.81186,0.24707,0.009406,0.009406,0.009406
20,2490.91,inf,0.81338,0.90302,0.59692,0.71569,0.6965,0.6965,0.15595,0.82854,0.20143,0.009373,0.009373,0.009373
21,2628.17,0.03532,0.8043,0.90155,0.6007,0.7189,0.70474,0.70474,0.16162,0.7893,0.20219,0.00934,0.00934,0.00934
22,2767.39,0.03312,0.79551,0.90243,0.61707,0.70962,0.70621,0.70621,0.17693,0.79509,0.22141,0.009307,0.009307,0.009307
23,2907.57,0.03431,0.78861,0.90067,0.61938,0.71079,0.71066,0.71066,0.13847,0.79019,0.1735,0.009274,0.009274,0.009274
24,3048.46,0.03364,0.78499,0.9025,0.61668,0.72977,0.7158,0.7158,0.16879,0.78712,0.21324,0.009241,0.009241,0.009241
25,3189.81,0.03241,0.77983,0.90052,0.62626,0.71414,0.71857,0.71852,0.15757,0.80044,0.19873,0.009208,0.009208,0.009208
26,3330.14,inf,0.77189,0.90022,0.62608,0.71217,0.71922,0.71493,0.1544,0.83305,0.1967,0.009175,0.009175,0.009175
27,3470.08,0.03205,0.7651,0.90107,0.60517,0.73924,0.71771,0.71769,0.14412,0.79225,0.18147,0.009142,0.009142,0.009142
28,3609.32,0.03256,0.76066,0.90088,0.61653,0.72867,0.72068,0.72068,0.14434,0.77881,0.18308,0.009109,0.009109,0.009109
29,3749.39,0.03229,0.75297,0.90191,0.62614,0.72421,0.72507,0.72507,0.13409,0.76542,0.16957,0.009076,0.009076,0.009076
